ScanNo,SumSn,ratio_0,ratio_1,ratio_5,ratio_10,ratio_10,ratio_5,ratio_1,ratio_0
26579,29.226,0,0,0,0,0,0,0,0
12027,1669.4,0.157,0.64371,2.8758,6.903,5.5865,3.0355,0.64856,0.14993
10554,1274.5,0.00037146,0.00011931,3.475,7.5609,6.1296,2.8335,0.00019067,0.00038038
35925,1185.8,0.0028905,0.62192,2.9806,7.038,5.7982,3.0342,0.52198,0.002172
7187,1205.7,0.015327,0.50308,2.5703,7.283,5.8452,3.294,0.47465,0.014431
25598,470.49,0.10603,0.5769,2.7029,7.0961,5.8237,3.1641,0.52792,0.0022841
17938,191.99,0.0040221,0.49282,2.2971,6.8758,5.9669,3.583,0.7745,0.0059045
10151,2271.9,0.3482,0.78351,2.9886,6.4435,5.3802,2.9363,0.83551,0.28427
11458,1148.1,0.0066883,0.39721,2.7654,6.9923,6.1513,3.1364,0.54488,0.005866
15934,852.85,0.203,0.64522,2.7943,6.7676,5.7835,3.0449,0.65513,0.10639
14603,77.968,0.0003712,0.00011455,3.9845,7.3668,5.6605,2.9872,0.00020568,0.00038904
41934,7.8739,0,0,0,0,0,0,0,0
42077,13.707,0,0,0,0,0,0,0,0
40359,206.41,0.00078272,0.33056,2.5947,5.955,6.5494,3.7125,0.85668,0.00038369
38152,0,0,0,0,0,0,0,0,0
13634,231.94,0.44028,0.67096,2.1134,6.3242,5.2369,3.7341,1.0059,0.47422
22361,37.535,0,0,0,0,0,0,0,0
53938,3162.5,0.012579,0.36515,2.602,6.5022,6.1975,3.4885,0.77934,0.052598
18979,1473.2,0.00644,0.69034,2.9288,6.7633,5.8025,3.0816,0.72156,0.0055166
27874,136.99,0.0013347,0.00040989,4.8164,6.5711,5.5819,3.0267,0.00081306,0.0014131
20927,183.76,0.0054872,0.22292,2.7144,7.2388,6.0984,3.1227,0.59094,0.0064446
23588,664.21,0.11145,0.51517,2.8489,6.6407,5.8968,3.1802,0.63247,0.17433
27580,263.85,0.0013032,0.39441,2.4431,6.4989,6.1544,3.7373,0.76866,0.0019526
40513,363.72,0.0068637,0.5236,3.1774,7.0333,5.9563,2.8679,0.42886,0.0058512
45823,0,0,0,0,0,0,0,0,0
40728,296.83,0.011679,0.33847,2.4981,6.7081,6.0237,3.7942,0.61638,0.0094934
18445,432.64,0.0064425,1.1055,3.1101,6.8178,5.5616,3.384,0.0045922,0.0099536
27857,1348.5,0.017907,0.67517,3.8652,6.4303,5.4492,3.0278,0.53389,0.00053489
31646,1607.4,0.10754,0.97032,3.7721,6.9947,5.1565,2.6105,0.3876,0.00070904
41308,23.462,0,0,0,0,0,0,0,0
32831,306.09,0.001313,0.38978,2.3666,6.7019,6.5779,3.2795,0.68079,0.0022164
44748,198.56,0.0050843,0.21258,2.102,5.5293,6.6565,4.0205,1.2067,0.26733
26602,16.919,0,0,0,0,0,0,0,0
19427,1955.3,0.0070995,0.54398,2.7569,7.1616,5.9348,3.024,0.54621,0.025353
24514,1113.1,0.0027353,0.45687,2.8009,7.262,5.973,2.9737,0.52864,0.0020614
49445,0,0,0,0,0,0,0,0,0
7281,3.6931,0,0,0,0,0,0,0,0
7297,3439.3,0.006593,0.52332,2.8982,6.9885,6.1309,2.8919,0.55476,0.0058109
