ScanNo,SumSn,ratio_0,ratio_1,ratio_5,ratio_10,ratio_10,ratio_5,ratio_1,ratio_0
11770,389.03,0.00050826,0.67432,3.4956,6.6954,5.7552,2.8838,0.49462,0.00051031
11791,707.31,0.0068246,0.53642,2.8898,6.9072,5.9273,3.2349,0.49151,0.0060386
11830,630.02,0.26942,0.65299,2.8408,6.889,5.5129,3.0305,0.65859,0.14585
11857,438.14,0.0088277,1.0474,4.1084,6.8222,4.9296,2.6157,0.455,0.012948
11858,1259.6,0.19355,0.68521,2.8251,6.6145,5.953,2.8205,0.73461,0.17355
11871,462.03,0.0067142,0.41038,2.7703,7.133,6.1575,3.0408,0.47546,0.0057466
11908,108.97,0.01298,0.53374,2.3454,7.4595,5.9708,3.6576,0.0073257,0.012672
11960,422.12,0.10568,0.49003,2.9649,6.7208,5.8864,3.3147,0.51533,0.0021906
11985,1690.2,0.074785,0.62941,2.8024,6.9744,5.8123,3.0399,0.59192,0.074871
12028,389.95,0.006693,0.40349,2.9428,6.9709,5.7929,3.272,0.60566,0.0054796
12048,624.43,0.21372,1.1481,3.4392,6.8874,5.1468,2.7335,0.37083,0.060477
12076,1089,0.1264,1.1824,3.5128,6.9645,5.0912,2.7045,0.4177,0.00045183
12102,59.993,0.011357,0.0098144,3.1821,7.5006,6.6191,2.6592,0.0067654,0.010979
12106,408.7,0.0068459,0.44395,3.0624,7.0649,5.6477,3.2256,0.5427,0.005925
12110,0,0,0,0,0,0,0,0,0
12119,2594.2,0.088554,1.0382,3.8234,6.8616,5.2508,2.5894,0.34754,0.00050534
12124,41.819,0,0,0,0,0,0,0,0
12165,314.95,0.13663,1.356,3.668,6.9643,4.9996,2.3702,0.50513,0.00011545
12192,193.16,0.00094331,0.51592,2.7,6.3171,5.8998,3.6698,0.89439,0.0020507
12250,729.4,0.059395,0.52944,2.7804,7.271,5.9994,2.8775,0.48024,0.0026107
12264,85.854,1.1823,1.968,2.5263,6.2141,4.1661,2.1762,1.146,0.62109
12293,352.59,0.13665,0.47596,2.793,7.3684,6.0288,2.6186,0.57654,0.0021076
12339,180.66,0.015422,0.54383,2.9943,7.4466,5.3712,3.1684,0.4461,0.014107
